index,title,release_date,vote_average
212,"Miraculous World: New York, United HeroeZ",2020-09-25,8.084
213,Das Boot,1981-09-17,8.082
214,All About Eve,1950-11-09,8.081
215,Along with the Gods: The Two Worlds,2017-12-20,8.076
216,New Gods: Nezha Reborn,2021-02-06,8.075
217,Along with the Gods: The Last 49 Days,2018-08-01,8.1
218,Far from the Tree,2021-11-24,8.074
219,M,1931-05-11,8.073
220,La Dolce Vita,1960-02-05,8.1
221,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,8.1
222,There Will Be Blood,2007-12-26,8.071
223,My Neighbor Totoro,1988-04-16,8.07
224,Rashomon,1950-08-26,8.07
225,Prayers for Bobby,2009-01-24,8.1
226,"Three Billboards Outside Ebbing, Missouri",2017-12-01,8.068
227,Pride & Prejudice,2005-09-16,8.1
228,A Special Day,1977-08-11,8.1
229,Oppenheimer,2023-07-19,8.066
230,A Taxi Driver,2017-08-02,8.065
231,The Thing,1982-06-25,8.065
232,2001: A Space Odyssey,1968-04-02,8.1
233,Guillermo del Toro's Pinocchio,2022-11-09,8.061
234,Believe Me: The Abduction of Lisa McVey,2018-09-30,8.1
235,Sherlock Jr.,1924-04-17,8.06
236,Memories of Murder,2003-04-25,8.058
237,A Dog's Journey,2019-05-03,8.1
238,Ran,1985-06-01,8.057
239,Hidden Figures,2016-12-10,8.055
240,To Live,1994-05-18,8.055
241,Elite Squad,2007-10-12,8.05
242,The Young and the Damned,1950-12-09,8.1
243,Me Against You: Mr. S's Vendetta,2020-01-17,8.0
244,Lion,2016-11-24,8.047
245,The Elephant Man,1980-10-09,8.046
246,The Grand Budapest Hotel,2014-02-26,8.042
247,Judgment at Nuremberg,1961-12-18,8.0
248,Ayla: The Daughter of War,2017-10-27,8.0
249,Bo Burnham: Make Happy,2016-06-03,8.041
250,Paper Lives,2021-03-12,8.0
251,The Second Mother,2015-06-04,8.037
252,My Name Is Khan,2010-02-10,8.037
253,The Lives of Others,2006-03-23,8.036
254,The Count of Monte Cristo,2024-06-28,8.028
255,On My Skin,2018-09-12,8.0
256,The Wolf of Wall Street,2013-12-25,8.029
257,The Sting,1973-12-25,8.03
258,The Wages of Fear,1953-04-22,8.0
259,The 400 Blows,1959-06-03,8.0
260,Rocco and His Brothers,1960-10-07,8.024
261,Amadeus,1984-09-19,8.022
262,Bo Burnham: Inside,2021-07-22,8.021
263,Flipped,2010-08-06,8.021
264,Dial M for Murder,1954-05-29,8.0
265,"Veinteañera, divorciada y fantástica",2020-02-14,8.018
266,How to Train Your Dragon: Homecoming,2019-12-03,8.016
267,Scooby-Doo! and Kiss: Rock and Roll Mystery,2015-07-09,8.0
268,For a Few Dollars More,1965-12-18,8.016
269,Requiem for a Dream,2000-10-06,8.015
270,"Rome, Open City",1945-10-08,8.0
271,"Toto, Peppino, and the Hussy",1956-08-23,8.014
272,Song of the Sea,2014-06-23,8.013
273,Late Spring,1949-09-13,8.0
274,Robot Dreams,2023-12-06,8.012
275,Beyond the Universe,2022-10-27,8.0
276,Jojo Rabbit,2019-10-18,8.011
277,Harry Potter and the Prisoner of Azkaban,2004-05-31,8.011
278,Gifted,2017-04-07,8.01
279,Hachi: A Dog's Tale,2009-06-08,8.009
280,All Your Faces,2023-03-29,8.008
281,Room,2015-10-16,8.007
282,American Beauty,1999-09-15,8.007
283,Look Back,2024-06-28,8.0
284,Barry Lyndon,1975-12-18,8.0
285,Weathering with You,2019-06-19,8.003
286,Ford v Ferrari,2019-11-13,8.003
287,Society of the Snow,2023-12-15,8.002
288,Black Beauty,2020-11-27,8.0
289,3 Idiots,2009-12-23,7.999
290,Tae Guk Gi: The Brotherhood of War,2004-02-05,7.999
291,Citizen Kane,1941-04-17,8.0
292,Casino,1995-11-22,7.997
293,"Love, Simon",2018-02-16,8.0
294,Cruella,2021-05-26,7.996
295,Lawrence of Arabia,1962-12-11,8.0
296,Loving Vincent,2017-06-22,7.995
297,The Imitation Game,2014-11-14,7.995
298,Kill Bill: The Whole Bloody Affair,2011-03-27,8.0
299,"Red, White & Royal Blue",2023-07-27,8.0
300,Paperman,2012-11-02,7.992
301,Sound of Freedom,2023-07-03,7.991
302,Love Exposure,2009-01-31,7.991
303,The Passion of Joan of Arc,1928-04-21,7.991
304,The Secret in Their Eyes,2009-08-13,8.0
305,The Deer Hunter,1978-12-08,7.99
306,El mesero,2021-07-15,7.989
307,1917,2019-12-25,7.989
308,Gran Torino,2008-12-12,7.989
309,Nights of Cabiria,1957-10-03,8.0
310,To Kill a Mockingbird,1962-12-20,7.987
311,Bingo: The King of the Mornings,2017-08-24,7.986
312,In a Heartbeat,2017-06-01,7.985
313,Like Stars on Earth,2007-12-21,7.984
314,Ugetsu,1953-03-26,8.0
315,Andrei Rublev,1966-12-16,7.982
316,The Gold Rush,1925-07-13,7.981
317,North by Northwest,1959-07-08,8.0
318,Bohemian Rhapsody,2018-10-24,8.0
319,La Notte,1961-01-24,8.0
320,Mirror,1975-03-07,8.0
321,Catch Me If You Can,2002-12-16,7.978
322,Autumn Sonata,1978-10-08,8.0
323,Castle in the Sky,1986-08-02,8.0
324,Love Hurts,2002-11-08,8.0
325,Nobody Knows,2004-08-07,8.0
326,The Hidden Fortress,1958-12-28,8.0
327,Kill Bill: Vol. 1,2003-10-10,7.969
328,Chungking Express,1994-07-14,7.967
329,Toy Story,1995-11-22,7.968
330,Before Sunrise,1995-01-27,8.0
331,Kitbull,2019-01-18,7.965
332,Monster,2023-06-02,8.0
333,Three Men and a Leg,1997-12-27,8.0
334,The Red Shoes,1948-09-06,8.0
335,Trainspotting,1996-02-23,7.964
336,I'm Still Here,2024-09-19,7.96
337,Pink Floyd: The Wall,1982-07-14,7.959
338,Up,2009-05-28,7.957
339,Castaway on the Moon,2009-05-14,7.956
340,The Treasure of the Sierra Madre,1948-01-15,7.955
341,Tel chi el telùn,1999-05-12,8.0
342,Million Dollar Baby,2004-12-15,7.954
343,The Way He Looks,2014-04-10,8.0
344,The General,1926-12-25,7.952
345,The Sixth Sense,1999-08-06,7.952
346,Jurassic Park,1993-06-11,7.952
347,Aliens,1986-07-18,7.951
348,Nausicaä of the Valley of the Wind,1984-03-11,8.0
349,Memoir of a Snail,2024-10-17,7.961
350,Dersu Uzala,1975-08-02,7.9
351,Guardians of the Galaxy Vol. 3,2023-05-03,7.948
352,The Iron Giant,1999-08-06,7.948
353,The Boy and the Beast,2015-07-11,7.947
354,Whisper of the Heart,1995-07-15,7.9
355,Spider-Man: No Way Home,2021-12-15,7.946
356,The Circus,1928-01-06,7.9
357,Flamin' Hot,2023-03-11,7.947
358,A Man Escaped,1956-11-11,7.9
359,No Country for Old Men,2007-06-13,7.944
360,The Cure,1995-04-21,7.9
361,The Great Escape,1963-07-03,7.944
362,Miracle in Cell No. 7,2013-01-23,7.9
363,Ordet,1955-01-09,7.943
364,The Exterminating Angel,1962-05-16,7.9
365,Braveheart,1995-05-24,7.942
366,Rope,1948-03-11,7.941
367,Ivan Vasilyevich Changes His Profession,1973-09-17,7.9
368,Sanjuro,1962-01-01,7.9
369,Akira,1988-06-10,7.9
370,Blade Runner,1982-06-25,7.94
371,When Marnie Was There,2014-07-19,7.9
372,Farewell My Concubine,1993-01-01,7.9
373,12 Years a Slave,2013-10-18,7.936
374,Raise the Red Lantern,1991-12-18,7.935
375,Gone with the Wind,1939-12-15,7.933
376,It's Such a Beautiful Day,2012-08-24,7.93
377,Close-Up,1990-05-09,7.9
378,Me Before You,2016-06-01,7.928
379,Suzume,2022-11-11,7.9
380,Nobody,2021-03-18,7.927
381,Ghost in the Shell,1995-11-18,7.926
382,CODA,2021-08-13,7.925
383,The Postman,1994-04-07,7.9
384,Raging Bull,1980-11-14,7.9
385,Forgotten,2017-11-29,7.923
386,Don't Look Now... We're Being Shot At!,1966-12-08,7.924
387,Where Hands Touch,2018-09-14,7.9
388,"Batman: The Dark Knight Returns, Part 2",2013-01-03,7.922
389,Dallas Buyers Club,2013-11-01,7.921
390,Freedom Writers,2007-01-05,7.921
391,Army of Shadows,1969-09-10,7.92
392,Throne of Blood,1957-01-15,7.9
393,The Cabinet of Dr. Caligari,1920-02-27,7.92
394,Raiders of the Lost Ark,1981-06-12,7.92
395,Cries and Whispers,1972-12-21,7.9
396,Heat,1995-12-15,7.918
397,Where Is The Friend's House?,1987-07-01,7.9
398,The Third Man,1949-08-31,7.916
399,Amélie,2001-04-25,7.916
400,About Time,2013-09-04,7.914
401,Limelight,1952-10-23,7.9
402,Three Colors: Red,1994-05-12,7.914
403,"No manches, Frida 2: paraíso destruido",2019-03-15,7.913
404,Chinatown,1974-06-20,7.913
405,Unforgiven,1992-08-07,7.913
406,The Cranes Are Flying,1957-10-12,7.9
407,Inside Out,2015-06-17,7.911
